"Form type","Form description","Filing date","Reporting date"
"4","Statement of changes in beneficial ownership of securities","2015-02-03","2015-02-01"
"4","Statement of changes in beneficial ownership of securities","2015-02-03","2015-02-01"
"4","Statement of changes in beneficial ownership of securities","2015-02-03","2015-02-01"
"424B2","Prospectus [Rule 424(b)(2)]","2015-02-03",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2015-02-03",""
"8-K","Current report","2015-02-09","2015-02-02"
"SC 13G","Statement of Beneficial Ownership by Certain Investors","2015-02-10",""
"SD","Form - SD","2015-02-12",""
"4","Statement of changes in beneficial ownership of securities","2015-02-18","2015-02-15"
"4","Statement of changes in beneficial ownership of securities","2015-02-20","2015-02-18"
"UPLOAD","SEC-generated letter","2015-03-04",""
"4","Statement of changes in beneficial ownership of securities","2015-03-06","2015-03-04"
"4","Statement of changes in beneficial ownership of securities","2015-03-11","2015-03-09"
"4","Statement of changes in beneficial ownership of securities","2015-03-12","2015-03-10"
"4","Statement of changes in beneficial ownership of securities","2015-03-12","2015-03-10"
"4","Statement of changes in beneficial ownership of securities","2015-03-12","2015-03-10"
"4","Statement of changes in beneficial ownership of securities","2015-03-12","2015-03-10"
"4","Statement of changes in beneficial ownership of securities","2015-03-12","2015-03-10"
"4","Statement of changes in beneficial ownership of securities","2015-03-12","2015-03-10"
"8-K","Current report","2015-03-13","2015-03-10"
"4","Statement of changes in beneficial ownership of securities","2015-03-17","2015-03-15"
"4","Statement of changes in beneficial ownership of securities","2015-03-20","2015-03-18"
"CORRESP","Correspondence","2015-04-01",""
"4","Statement of changes in beneficial ownership of securities","2015-04-03","2015-04-01"
"4","Statement of changes in beneficial ownership of securities","2015-04-03","2015-04-01"
"4","Statement of changes in beneficial ownership of securities","2015-04-08","2015-04-06"
"4","Statement of changes in beneficial ownership of securities","2015-04-17","2015-04-15"
"4","Statement of changes in beneficial ownership of securities","2015-04-17","2015-04-15"
"4","Statement of changes in beneficial ownership of securities","2015-04-17","2015-04-15"
"4","Statement of changes in beneficial ownership of securities","2015-04-22","2015-04-20"
"4","Statement of changes in beneficial ownership of securities","2015-04-27","2015-04-23"
"4","Statement of changes in beneficial ownership of securities","2015-04-27","2015-04-23"
"8-K","Current report","2015-04-27","2015-04-27"
"8-K","Current report","2015-04-27","2015-04-27"
"S-8","Securities to be offered to employees in employee benefit plans","2015-04-28",""
"10-Q","Quarterly report [Sections 13 or 15(d)]","2015-04-28","2015-03-28"
"4","Statement of changes in beneficial ownership of securities","2015-05-04","2015-04-30"
"4","Statement of changes in beneficial ownership of securities","2015-05-05","2015-05-01"
"424B2","Prospectus [Rule 424(b)(2)]","2015-05-06",""
"424B2","Prospectus [Rule 424(b)(2)]","2015-05-07",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2015-05-07",""
"8-K","Current report","2015-05-13","2015-05-06"
"UPLOAD","SEC-generated letter","2015-05-19",""
"4","Statement of changes in beneficial ownership of securities","2015-05-29","2015-05-27"
"4","Statement of changes in beneficial ownership of securities","2015-05-29","2015-05-28"
"4","Statement of changes in beneficial ownership of securities","2015-06-01","2015-05-28"
"424B2","Prospectus [Rule 424(b)(2)]","2015-06-01",""
"424B2","Prospectus [Rule 424(b)(2)]","2015-06-04",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2015-06-04",""
"8-K","Current report","2015-06-10","2015-06-03"
"4","Statement of changes in beneficial ownership of securities","2015-06-26","2015-06-24"
"4","Statement of changes in beneficial ownership of securities","2015-07-21","2015-07-18"
"8-K","Current report","2015-07-21","2015-07-21"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2015-07-22","2015-06-27"
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2015-07-24",""
"424B2","Prospectus [Rule 424(b)(2)]","2015-07-24",""
"424B2","Prospectus [Rule 424(b)(2)]","2015-07-27",""
"4","Statement of changes in beneficial ownership of securities","2015-07-28","2015-07-24"
"4","Statement of changes in beneficial ownership of securities","2015-07-28","2015-07-24"
"8-K","Current report","2015-07-31","2015-07-24"
"CERTNYS","Certification by the New York Stock Exchange approving securities for listing","2015-08-03",""
"8-A12B","Registration of securities [Section 12(b)]","2015-08-03",""
"4","Statement of changes in beneficial ownership of securities","2015-08-18","2015-08-15"
"4","Statement of changes in beneficial ownership of securities","2015-08-25","2015-08-24"
"4","Statement of changes in beneficial ownership of securities","2015-08-25","2015-08-24"
"CORRESP","Correspondence","2015-08-31",""
"4","Statement of changes in beneficial ownership of securities","2015-09-09","2015-09-04"
"UPLOAD","SEC-generated letter","2015-09-09",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2015-09-10",""
"424B2","Prospectus [Rule 424(b)(2)]","2015-09-10",""
"424B2","Prospectus [Rule 424(b)(2)]","2015-09-11",""
"4","Statement of changes in beneficial ownership of securities","2015-09-17","2015-09-15"
"8-A12B","Registration of securities [Section 12(b)]","2015-09-17",""
"8-K","Current report","2015-09-17","2015-09-10"
"CERTNYS","Certification by the New York Stock Exchange approving securities for listing","2015-09-18",""
"4","Statement of changes in beneficial ownership of securities","2015-10-02","2015-10-01"
"3","Initial statement of beneficial ownership of securities","2015-10-02","2015-10-01"
"8-K","Current report","2015-10-02","2015-10-01"
"4","Statement of changes in beneficial ownership of securities","2015-10-05","2015-10-01"
"4","Statement of changes in beneficial ownership of securities","2015-10-05","2015-10-01"
"4","Statement of changes in beneficial ownership of securities","2015-10-05","2015-10-01"
"4","Statement of changes in beneficial ownership of securities","2015-10-05","2015-10-01"
"4","Statement of changes in beneficial ownership of securities","2015-10-05","2015-10-01"
"4","Statement of changes in beneficial ownership of securities","2015-10-05","2015-10-01"
"4","Statement of changes in beneficial ownership of securities","2015-10-05","2015-10-01"
"4","Statement of changes in beneficial ownership of securities","2015-10-07","2015-10-05"
"4","Statement of changes in beneficial ownership of securities","2015-10-07","2015-10-05"
"4","Statement of changes in beneficial ownership of securities","2015-10-07","2015-10-05"
"4","Statement of changes in beneficial ownership of securities","2015-10-07","2015-10-05"
"4","Statement of changes in beneficial ownership of securities","2015-10-07","2015-10-05"
"4","Statement of changes in beneficial ownership of securities","2015-10-07","2015-10-05"
"4","Statement of changes in beneficial ownership of securities","2015-10-07","2015-10-05"
"4","Statement of changes in beneficial ownership of securities","2015-10-07","2015-10-05"
"4","Statement of changes in beneficial ownership of securities","2015-10-07","2015-10-05"
"4","Statement of changes in beneficial ownership of securities","2015-10-19","2015-10-15"
"4","Statement of changes in beneficial ownership of securities","2015-10-19","2015-10-15"
"4","Statement of changes in beneficial ownership of securities","2015-10-19","2015-10-15"
"4","Statement of changes in beneficial ownership of securities","2015-10-22","2015-10-20"
"8-K","Current report","2015-10-27","2015-10-27"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2015-10-28","2015-09-26"
"4","Statement of changes in beneficial ownership of securities","2015-11-03","2015-11-02"
"4","Statement of changes in beneficial ownership of securities","2015-11-03","2015-10-30"
"4","Statement of changes in beneficial ownership of securities","2015-11-03","2015-10-30"
"4","Statement of changes in beneficial ownership of securities","2015-11-06","2015-11-04"
"4","Statement of changes in beneficial ownership of securities","2015-11-10","2015-11-09"
"NO ACT","No Action Letter","2015-11-16","2015-11-11"
"NO ACT","No Action Letter","2015-11-16","2015-09-25"
"NO ACT","No Action Letter","2015-12-11","2015-10-19"
"NO ACT","No Action Letter","2015-12-14","2015-10-16"
"8-K","Current report","2015-12-17","2015-12-16"
"8-K","Current report","2015-12-22","2015-12-21"
"3","Initial statement of beneficial ownership of securities","2015-12-28","2015-12-16"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2016-01-06",""
"DEF 14A","Other definitive proxy statements","2016-01-06","2016-02-26"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2016-01-14",""
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2016-01-25",""
"8-K","Current report","2016-01-26","2016-01-26"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2016-01-27","2015-12-26"
"4","Statement of changes in beneficial ownership of securities","2016-02-03","2016-02-01"
"4","Statement of changes in beneficial ownership of securities","2016-02-03","2016-02-01"
"4","Statement of changes in beneficial ownership of securities","2016-02-03","2016-02-01"
"4","Statement of changes in beneficial ownership of securities","2016-02-03","2016-02-01"
"4","Statement of changes in beneficial ownership of securities","2016-02-03","2016-02-01"
"4","Statement of changes in beneficial ownership of securities","2016-02-03","2016-02-01"
"4","Statement of changes in beneficial ownership of securities","2016-02-03","2016-02-01"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2016-02-10",""
"424B2","Prospectus [Rule 424(b)(2)]","2016-02-16",""
"4","Statement of changes in beneficial ownership of securities","2016-02-17","2016-02-15"
"424B2","Prospectus [Rule 424(b)(2)]","2016-02-17",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2016-02-17",""
"8-K","Current report","2016-02-23","2016-02-16"
"4","Statement of changes in beneficial ownership of securities","2016-03-01","2016-02-26"
"4","Statement of changes in beneficial ownership of securities","2016-03-01","2016-02-26"
"4","Statement of changes in beneficial ownership of securities","2016-03-01","2016-02-26"
"4","Statement of changes in beneficial ownership of securities","2016-03-01","2016-02-26"
"4","Statement of changes in beneficial ownership of securities","2016-03-01","2016-02-26"
"4","Statement of changes in beneficial ownership of securities","2016-03-01","2016-02-26"
"4","Statement of changes in beneficial ownership of securities","2016-03-01","2016-02-26"
"8-K","Current report","2016-03-01","2016-02-26"
"4","Statement of changes in beneficial ownership of securities","2016-03-08","2016-03-04"
"4","Statement of changes in beneficial ownership of securities","2016-03-17","2016-03-15"
"424B2","Prospectus [Rule 424(b)(2)]","2016-03-17",""
"424B2","Prospectus [Rule 424(b)(2)]","2016-03-18",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2016-03-18",""
"4","Statement of changes in beneficial ownership of securities","2016-03-23","2016-03-21"
"4","Statement of changes in beneficial ownership of securities","2016-03-23","2016-03-21"
"4","Statement of changes in beneficial ownership of securities","2016-03-23","2016-03-21"
"8-K","Current report","2016-03-24","2016-03-17"
"SD","Form - SD","2016-03-30",""
"4","Statement of changes in beneficial ownership of securities","2016-04-01","2016-03-30"
"4","Statement of changes in beneficial ownership of securities","2016-04-05","2016-04-01"
"4","Statement of changes in beneficial ownership of securities","2016-04-05","2016-04-01"
"4","Statement of changes in beneficial ownership of securities","2016-04-05","2016-04-01"
"4","Statement of changes in beneficial ownership of securities","2016-04-05","2016-04-01"
"4","Statement of changes in beneficial ownership of securities","2016-04-05","2016-04-01"
"4","Statement of changes in beneficial ownership of securities","2016-04-05","2016-04-01"
"4","Statement of changes in beneficial ownership of securities","2016-04-19","2016-04-15"
"4","Statement of changes in beneficial ownership of securities","2016-04-19","2016-04-15"
"4","Statement of changes in beneficial ownership of securities","2016-04-19","2016-04-15"
"8-K","Current report","2016-04-26","2016-04-26"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2016-04-27","2016-03-26"
"S-3ASR","Automatic shelf registration statement of securities of well-known seasoned issuers","2016-04-28",""
"4","Statement of changes in beneficial ownership of securities","2016-05-03","2016-05-01"
"4","Statement of changes in beneficial ownership of securities","2016-05-25","2016-05-23"
"4","Statement of changes in beneficial ownership of securities","2016-05-31","2016-05-26"
"4","Statement of changes in beneficial ownership of securities","2016-05-31","2016-05-26"
"4","Statement of changes in beneficial ownership of securities","2016-06-01","2016-05-27"
"4","Statement of changes in beneficial ownership of securities","2016-06-01","2016-05-29"
"4","Statement of changes in beneficial ownership of securities","2016-06-01","2016-05-27"
"4","Statement of changes in beneficial ownership of securities","2016-06-02","2016-05-31"
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2016-06-07",""
"424B2","Prospectus [Rule 424(b)(2)]","2016-06-07",""
"424B2","Prospectus [Rule 424(b)(2)]","2016-06-08",""
"4","Statement of changes in beneficial ownership of securities","2016-06-16","2016-06-14"
"8-K","Current report","2016-06-22","2016-06-07"
"4","Statement of changes in beneficial ownership of securities","2016-07-20","2016-07-18"
"8-K","Current report","2016-07-26","2016-07-26"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2016-07-27","2016-06-25"
"424B2","Prospectus [Rule 424(b)(2)]","2016-07-28",""
"424B2","Prospectus [Rule 424(b)(2)]","2016-07-29",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2016-07-29",""
"8-K","Current report","2016-08-04","2016-07-28"
"4","Statement of changes in beneficial ownership of securities","2016-08-05","2016-08-02"
"4","Statement of changes in beneficial ownership of securities","2016-08-09","2016-08-05"
"4","Statement of changes in beneficial ownership of securities","2016-08-11","2016-08-09"
"4","Statement of changes in beneficial ownership of securities","2016-08-16","2016-08-12"
"4","Statement of changes in beneficial ownership of securities","2016-08-17","2016-08-15"
"4","Statement of changes in beneficial ownership of securities","2016-08-18","2016-08-16"
"4","Statement of changes in beneficial ownership of securities","2016-08-18","2016-08-17"
"4","Statement of changes in beneficial ownership of securities","2016-08-18","2016-08-17"
"4","Statement of changes in beneficial ownership of securities","2016-08-25","2016-08-23"
"4","Statement of changes in beneficial ownership of securities","2016-08-25","2016-08-23"
"4","Statement of changes in beneficial ownership of securities","2016-08-26","2016-08-24"
"4","Statement of changes in beneficial ownership of securities","2016-08-31","2016-08-29"
"4","Statement of changes in beneficial ownership of securities","2016-08-31","2016-08-30"
"4","Statement of changes in beneficial ownership of securities","2016-09-07","2016-09-04"
"4","Statement of changes in beneficial ownership of securities","2016-09-23","2016-09-21"
"4","Statement of changes in beneficial ownership of securities","2016-09-23","2016-09-21"
"4","Statement of changes in beneficial ownership of securities","2016-10-04","2016-10-01"
"4","Statement of changes in beneficial ownership of securities","2016-10-04","2016-10-01"
"4","Statement of changes in beneficial ownership of securities","2016-10-04","2016-10-01"
"4","Statement of changes in beneficial ownership of securities","2016-10-04","2016-10-01"
"4","Statement of changes in beneficial ownership of securities","2016-10-04","2016-10-01"
"4","Statement of changes in beneficial ownership of securities","2016-10-04","2016-10-01"
"4","Statement of changes in beneficial ownership of securities","2016-10-04","2016-10-01"
"4","Statement of changes in beneficial ownership of securities","2016-10-18","2016-10-14"
"4","Statement of changes in beneficial ownership of securities","2016-10-18","2016-10-14"
"4","Statement of changes in beneficial ownership of securities","2016-10-18","2016-10-14"
"4","Statement of changes in beneficial ownership of securities","2016-10-18","2016-10-14"
"4","Statement of changes in beneficial ownership of securities","2016-10-18","2016-10-14"
"4","Statement of changes in beneficial ownership of securities","2016-10-18","2016-10-14"
"4","Statement of changes in beneficial ownership of securities","2016-10-18","2016-10-14"
"4","Statement of changes in beneficial ownership of securities","2016-10-18","2016-10-14"
"4","Statement of changes in beneficial ownership of securities","2016-10-18","2016-10-14"
"4","Statement of changes in beneficial ownership of securities","2016-10-18","2016-10-14"
"8-K","Current report","2016-10-25","2016-10-25"
"NO ACT","No Action Letter","2016-10-26","2016-10-07"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2016-10-26","2016-09-24"
"NO ACT","No Action Letter","2016-10-27","2016-10-07"
"4","Statement of changes in beneficial ownership of securities","2016-10-31","2016-10-27"
"4","Statement of changes in beneficial ownership of securities","2016-10-31","2016-10-27"
"4","Statement of changes in beneficial ownership of securities","2016-11-04","2016-11-02"
"4","Statement of changes in beneficial ownership of securities","2016-11-04","2016-11-03"
"4","Statement of changes in beneficial ownership of securities","2016-11-09","2016-11-07"
"4","Statement of changes in beneficial ownership of securities","2016-11-22","2016-11-18"
"NO ACT","No Action Letter","2016-12-05","2016-10-07"
"4","Statement of changes in beneficial ownership of securities","2016-12-13","2016-12-09"
"8-K","Current report","2016-12-15","2016-12-13"
"4","Statement of changes in beneficial ownership of securities","2016-12-19","2016-12-15"
"4","Statement of changes in beneficial ownership of securities","2016-12-29","2016-12-27"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2017-01-06",""
"DEF 14A","Other definitive proxy statements","2017-01-06","2017-02-28"
"4","Statement of changes in beneficial ownership of securities","2017-01-10","2017-01-06"
"4","Statement of changes in beneficial ownership of securities","2017-01-19","2017-01-17"
"4","Statement of changes in beneficial ownership of securities","2017-01-19","2017-01-18"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2017-01-19",""
"4","Statement of changes in beneficial ownership of securities","2017-01-24","2017-01-20"
"4","Statement of changes in beneficial ownership of securities","2017-01-27","2017-01-25"
"8-K","Current report","2017-01-31","2017-01-31"
"PX14A6G","Notice of exempt solicitation submitted by non-management","2017-01-31",""
"4","Statement of changes in beneficial ownership of securities","2017-02-01","2017-01-30"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2017-02-01","2016-12-31"
"424B2","Prospectus [Rule 424(b)(2)]","2017-02-02",""
"4","Statement of changes in beneficial ownership of securities","2017-02-03","2017-02-01"
"4","Statement of changes in beneficial ownership of securities","2017-02-03","2017-02-01"
"4","Statement of changes in beneficial ownership of securities","2017-02-03","2017-02-02"
"4","Statement of changes in beneficial ownership of securities","2017-02-03","2017-02-01"
"4","Statement of changes in beneficial ownership of securities","2017-02-03","2017-02-02"
"4","Statement of changes in beneficial ownership of securities","2017-02-03","2017-02-01"
"4","Statement of changes in beneficial ownership of securities","2017-02-03","2017-02-01"
"4","Statement of changes in beneficial ownership of securities","2017-02-03","2017-02-01"
"4","Statement of changes in beneficial ownership of securities","2017-02-03","2017-02-02"
"4","Statement of changes in beneficial ownership of securities","2017-02-03","2017-02-01"
"424B2","Prospectus [Rule 424(b)(2)]","2017-02-03",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2017-02-03",""
"4","Statement of changes in beneficial ownership of securities","2017-02-07","2017-02-03"
"8-K","Current report","2017-02-09","2017-02-02"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2017-02-09",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2017-02-14",""
"424B2","Prospectus [Rule 424(b)(2)]","2017-02-14",""
"424B2","Prospectus [Rule 424(b)(2)]","2017-02-15",""
"4","Statement of changes in beneficial ownership of securities","2017-02-17","2017-02-15"
"4","Statement of changes in beneficial ownership of securities","2017-02-17","2017-02-16"
"4","Statement of changes in beneficial ownership of securities","2017-02-22","2017-02-17"
"4","Statement of changes in beneficial ownership of securities","2017-02-24","2017-02-22"
"8-K","Current report","2017-03-01","2017-02-28"
"4","Statement of changes in beneficial ownership of securities","2017-03-02","2017-02-28"
"4","Statement of changes in beneficial ownership of securities","2017-03-02","2017-02-28"
"4","Statement of changes in beneficial ownership of securities","2017-03-02","2017-02-28"
"4","Statement of changes in beneficial ownership of securities","2017-03-02","2017-02-28"
"4","Statement of changes in beneficial ownership of securities","2017-03-02","2017-02-28"
"4","Statement of changes in beneficial ownership of securities","2017-03-02","2017-02-28"
"4","Statement of changes in beneficial ownership of securities","2017-03-02","2017-02-28"
"8-K","Current report","2017-03-03","2017-02-14"
"4","Statement of changes in beneficial ownership of securities","2017-03-07","2017-03-04"
"4","Statement of changes in beneficial ownership of securities","2017-03-17","2017-03-15"
"4","Statement of changes in beneficial ownership of securities","2017-04-04","2017-04-01"
"4","Statement of changes in beneficial ownership of securities","2017-04-04","2017-04-01"
"4","Statement of changes in beneficial ownership of securities","2017-04-04","2017-04-01"
"4","Statement of changes in beneficial ownership of securities","2017-04-04","2017-04-01"
"4","Statement of changes in beneficial ownership of securities","2017-04-04","2017-04-01"
"4","Statement of changes in beneficial ownership of securities","2017-04-04","2017-04-01"
"4","Statement of changes in beneficial ownership of securities","2017-04-04","2017-04-01"
"4","Statement of changes in beneficial ownership of securities","2017-04-04","2017-04-01"
"4","Statement of changes in beneficial ownership of securities","2017-04-07","2017-04-06"
"4","Statement of changes in beneficial ownership of securities","2017-04-07","2017-04-05"
"4","Statement of changes in beneficial ownership of securities","2017-04-18","2017-04-15"
"4","Statement of changes in beneficial ownership of securities","2017-04-18","2017-04-15"
"4","Statement of changes in beneficial ownership of securities","2017-04-18","2017-04-15"
"4","Statement of changes in beneficial ownership of securities","2017-04-21","2017-04-19"
"8-K","Current report","2017-05-02","2017-05-02"
"4","Statement of changes in beneficial ownership of securities","2017-05-03","2017-05-01"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2017-05-03","2017-04-01"
"424B2","Prospectus [Rule 424(b)(2)]","2017-05-04",""
"424B2","Prospectus [Rule 424(b)(2)]","2017-05-05",""
"SD","Form - SD","2017-05-05",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2017-05-05",""
"4","Statement of changes in beneficial ownership of securities","2017-05-08","2017-05-05"
"4","Statement of changes in beneficial ownership of securities","2017-05-08","2017-05-04"
"4","Statement of changes in beneficial ownership of securities","2017-05-11","2017-05-09"
"4","Statement of changes in beneficial ownership of securities","2017-05-11","2017-05-09"
"8-K","Current report","2017-05-11","2017-05-04"
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2017-05-17",""
"424B2","Prospectus [Rule 424(b)(2)]","2017-05-17",""
"4","Statement of changes in beneficial ownership of securities","2017-05-18","2017-05-16"
"424B2","Prospectus [Rule 424(b)(2)]","2017-05-18",""
"4","Statement of changes in beneficial ownership of securities","2017-05-24","2017-05-22"
"4","Statement of changes in beneficial ownership of securities","2017-05-24","2017-05-22"
"8-A12B","Registration of securities [Section 12(b)]","2017-05-24",""
"8-K","Current report","2017-05-24","2017-05-17"
"4","Statement of changes in beneficial ownership of securities","2017-05-25","2017-05-23"
"CERTNYS","Certification by the New York Stock Exchange approving securities for listing","2017-05-25",""
"4","Statement of changes in beneficial ownership of securities","2017-05-30","2017-05-25"
"4","Statement of changes in beneficial ownership of securities","2017-05-31","2017-05-29"
"4","Statement of changes in beneficial ownership of securities","2017-06-06","2017-06-02"
"4","Statement of changes in beneficial ownership of securities","2017-06-09","2017-06-07"
"424B2","Prospectus [Rule 424(b)(2)]","2017-06-13",""
"424B2","Prospectus [Rule 424(b)(2)]","2017-06-14",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2017-06-14",""
"4","Statement of changes in beneficial ownership of securities","2017-06-16","2017-06-14"
"8-K","Current report","2017-06-20","2017-06-13"
"4","Statement of changes in beneficial ownership of securities","2017-07-10","2017-07-06"
"8-K","Current report","2017-08-01","2017-08-01"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2017-08-02","2017-07-01"
"4","Statement of changes in beneficial ownership of securities","2017-08-09","2017-08-07"
"4","Statement of changes in beneficial ownership of securities","2017-08-09","2017-08-07"
"4","Statement of changes in beneficial ownership of securities","2017-08-09","2017-08-07"
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2017-08-15",""
"424B2","Prospectus [Rule 424(b)(2)]","2017-08-15",""
"424B2","Prospectus [Rule 424(b)(2)]","2017-08-16",""
"4","Statement of changes in beneficial ownership of securities","2017-08-17","2017-08-15"
"4","Statement of changes in beneficial ownership of securities","2017-08-18","2017-08-16"
"8-K","Current report","2017-08-18","2017-08-15"
"4","Statement of changes in beneficial ownership of securities","2017-08-28","2017-08-24"
"4","Statement of changes in beneficial ownership of securities","2017-08-30","2017-08-28"
"424B2","Prospectus [Rule 424(b)(2)]","2017-09-05",""
"424B2","Prospectus [Rule 424(b)(2)]","2017-09-06",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2017-09-06",""
"8-K","Current report","2017-09-12","2017-09-05"
"4","Statement of changes in beneficial ownership of securities","2017-10-03","2017-10-01"
"4","Statement of changes in beneficial ownership of securities","2017-10-03","2017-10-01"
"4","Statement of changes in beneficial ownership of securities","2017-10-03","2017-10-01"
"4","Statement of changes in beneficial ownership of securities","2017-10-03","2017-10-01"
"4","Statement of changes in beneficial ownership of securities","2017-10-03","2017-10-01"
"4","Statement of changes in beneficial ownership of securities","2017-10-03","2017-10-01"
"4","Statement of changes in beneficial ownership of securities","2017-10-03","2017-10-01"
"4","Statement of changes in beneficial ownership of securities","2017-10-03","2017-10-01"
"4","Statement of changes in beneficial ownership of securities","2017-10-05","2017-10-03"
"4","Statement of changes in beneficial ownership of securities","2017-10-05","2017-10-03"
"4","Statement of changes in beneficial ownership of securities","2017-10-10","2017-10-05"
"8-K","Current report","2017-10-12","2017-10-06"
"4","Statement of changes in beneficial ownership of securities","2017-10-17","2017-10-15"
"4","Statement of changes in beneficial ownership of securities","2017-10-17","2017-10-15"
"4","Statement of changes in beneficial ownership of securities","2017-10-17","2017-10-15"
"4","Statement of changes in beneficial ownership of securities","2017-10-17","2017-10-15"
"4","Statement of changes in beneficial ownership of securities","2017-10-17","2017-10-15"
"4","Statement of changes in beneficial ownership of securities","2017-10-17","2017-10-15"
"4","Statement of changes in beneficial ownership of securities","2017-10-17","2017-10-15"
"4","Statement of changes in beneficial ownership of securities","2017-10-17","2017-10-15"
"4","Statement of changes in beneficial ownership of securities","2017-10-17","2017-10-15"
"8-K","Current report","2017-11-02","2017-11-02"
"10-K","Annual report [Section 13 and 15(d), not S-K Item 405]","2017-11-03","2017-09-30"
"424B2","Prospectus [Rule 424(b)(2)]","2017-11-06",""
"424B2","Prospectus [Rule 424(b)(2)]","2017-11-07",""
"FWP","Filing under Securities Act Rules 163/433 of free writing prospectuses","2017-11-07",""
"8-K","Current report","2017-11-13","2017-11-06"
"4","Statement of changes in beneficial ownership of securities","2017-11-15","2017-11-13"
"4","Statement of changes in beneficial ownership of securities","2017-11-15","2017-11-13"
"3","Initial statement of beneficial ownership of securities","2017-11-15","2017-11-13"
"4","Statement of changes in beneficial ownership of securities","2017-11-16","2017-11-14"
"4","Statement of changes in beneficial ownership of securities","2017-11-27","2017-11-22"
"4","Statement of changes in beneficial ownership of securities","2017-12-04","2017-11-30"
"4","Statement of changes in beneficial ownership of securities","2017-12-11","2017-12-07"
"DEFA14A","Additional definitive proxy soliciting materials and Rule 14(a)(12) material","2017-12-27",""
"DEF 14A","Other definitive proxy statements","2017-12-27","2018-02-13"
"4","Statement of changes in beneficial ownership of securities","2018-01-09","2018-01-05"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2018-01-29",""
"8-K","Current report","2018-02-01","2018-02-01"
"10-Q","Quarterly report [Sections 13 or 15(d)]","2018-02-02","2017-12-30"
"4","Statement of changes in beneficial ownership of securities","2018-02-05","2018-02-01"
"4","Statement of changes in beneficial ownership of securities","2018-02-05","2018-02-01"
"4","Statement of changes in beneficial ownership of securities","2018-02-05","2018-02-01"
"4","Statement of changes in beneficial ownership of securities","2018-02-05","2018-02-01"
"4","Statement of changes in beneficial ownership of securities","2018-02-05","2018-02-01"
"4","Statement of changes in beneficial ownership of securities","2018-02-05","2018-02-01"
"4","Statement of changes in beneficial ownership of securities","2018-02-05","2018-02-01"
"4","Statement of changes in beneficial ownership of securities","2018-02-08","2018-02-06"
"SC 13G/A","Statement of Beneficial Ownership by Certain Investors - amendment","2018-02-12",""
"8-K","Current report","2018-02-14","2018-02-13"
"4","Statement of changes in beneficial ownership of securities","2018-02-15","2018-02-13"
"4","Statement of changes in beneficial ownership of securities","2018-02-15","2018-02-13"
"4","Statement of changes in beneficial ownership of securities","2018-02-15","2018-02-13"
"4","Statement of changes in beneficial ownership of securities","2018-02-15","2018-02-13"
"4","Statement of changes in beneficial ownership of securities","2018-02-15","2018-02-13"
"4","Statement of changes in beneficial ownership of securities","2018-02-15","2018-02-13"
"4","Statement of changes in beneficial ownership of securities","2018-02-15","2018-02-13"
"4","Statement of changes in beneficial ownership of securities","2018-02-20","2018-02-15"
"SD","Form - SD","2018-03-07",""
"4","Statement of changes in beneficial ownership of securities","2018-04-03","2018-04-01"
"4","Statement of changes in beneficial ownership of securities","2018-04-03","2018-04-01"
"4","Statement of changes in beneficial ownership of securities","2018-04-03","2018-04-01"
"4","Statement of changes in beneficial ownership of securities","2018-04-03","2018-04-01"
